lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
,1909,0.2310357540845871,15,,,,,,,,,
0.001,1919,,,,,,,,,,,
,1919,0.2409987896680832,15,,,,,,,,,
,1919,,15,0.8812134265899658,16.614974975585938,3.8546743392944336,1.860877275466919,10.899423599243164,,,,
,1919,,15,,,,,,7.8931121826171875,2.7133431434631348,2.079589605331421,3.100179672241211
0.001,1929,,,,,,,,,,,
,1929,0.18913185596466064,16,,,,,,,,,
0.001,1939,,,,,,,,,,,
,1939,0.26181507110595703,16,,,,,,,,,
0.001,1949,,,,,,,,,,,
,1949,0.20452545583248138,16,,,,,,,,,
0.001,1959,,,,,,,,,,,
,1959,0.19780415296554565,16,,,,,,,,,
0.001,1969,,,,,,,,,,,
,1969,0.2156907320022583,16,,,,,,,,,
0.001,1979,,,,,,,,,,,
,1979,0.2471172958612442,16,,,,,,,,,
,1979,,16,0.9477933049201965,17.545413970947266,6.269383907318115,1.0855116844177246,10.190518379211426,,,,
0.001,1989,,,,,,,,,,,
,1989,0.2434970736503601,16,,,,,,,,,
0.001,1999,,,,,,,,,,,
,1999,0.22706128656864166,16,,,,,,,,,
0.001,2009,,,,,,,,,,,
,2009,0.2029361128807068,16,,,,,,,,,
0.001,2019,,,,,,,,,,,
,2019,0.2093200385570526,16,,,,,,,,,
0.001,2029,,,,,,,,,,,
,2029,0.23774009943008423,16,,,,,,,,,
0.001,2039,,,,,,,,,,,
,2039,0.2476566880941391,16,,,,,,,,,
,2039,,16,0.8845155835151672,16.149755477905273,3.7660610675811768,1.5950376987457275,10.788657188415527,,,,
,2039,,16,,,,,,7.347988128662109,2.584512233734131,1.9700031280517578,2.7934727668762207
0.001,2049,,,,,,,,,,,
,2049,0.2235306352376938,17,,,,,,,,,
0.001,2059,,,,,,,,,,,
,2059,0.19998259842395782,17,,,,,,,,,
0.001,2069,,,,,,,,,,,
,2069,0.23496507108211517,17,,,,,,,,,
0.001,2079,,,,,,,,,,,
,2079,0.18827518820762634,17,,,,,,,,,
0.001,2089,,,,,,,,,,,
,2089,0.271792471408844,17,,,,,,,,,
0.001,2099,,,,,,,,,,,
,2099,0.27482956647872925,17,,,,,,,,,
,2099,,17,0.901042103767395,16.194063186645508,3.9654407501220703,2.0159504413604736,10.212671279907227,,,,
0.001,2109,,,,,,,,,,,
,2109,0.21013130247592926,17,,,,,,,,,
0.001,2119,,,,,,,,,,,
,2119,0.23329411447048187,17,,,,,,,,,
0.001,2129,,,,,,,,,,,
,2129,0.32216235995292664,17,,,,,,,,,
0.001,2139,,,,,,,,,,,
,2139,0.24163445830345154,17,,,,,,,,,
0.001,2149,,,,,,,,,,,
,2149,0.2446683943271637,17,,,,,,,,,
0.001,2159,,,,,,,,,,,
,2159,0.28906169533729553,17,,,,,,,,,
,2159,,17,0.9455235600471497,16.526363372802734,3.145768642425537,2.1267168521881104,11.253876686096191,,,,
,2159,,17,,,,,,7.483713150024414,2.691112995147705,2.0657522678375244,2.7268478870391846
0.001,2169,,,,,,,,,,,
,2169,0.17882007360458374,18,,,,,,,,,
0.001,2179,,,,,,,,,,,
,2179,0.18232950568199158,18,,,,,,,,,
0.001,2189,,,,,,,,,,,
,2189,0.21204011142253876,18,,,,,,,,,
0.001,2199,,,,,,,,,,,
,2199,0.1817137598991394,18,,,,,,,,,
0.001,2209,,,,,,,,,,,
,2209,0.17622721195220947,18,,,,,,,,,
0.001,2219,,,,,,,,,,,
,2219,0.22496113181114197,18,,,,,,,,,
,2219,,18,1.0050990581512451,17.035888671875,4.386353492736816,1.6836508512496948,10.9658842086792,,,,
0.001,2229,,,,,,,,,,,
,2229,0.38709506392478943,18,,,,,,,,,
0.001,2239,,,,,,,,,,,
,2239,0.2202657014131546,18,,,,,,,,,
0.001,2249,,,,,,,,,,,
,2249,0.33015894889831543,18,,,,,,,,,
0.001,2259,,,,,,,,,,,
,2259,0.36761271953582764,18,,,,,,,,,
0.001,2269,,,,,,,,,,,
,2269,0.18539488315582275,18,,,,,,,,,
0.001,2279,,,,,,,,,,,
,2279,0.27880382537841797,18,,,,,,,,,
,2279,,18,0.9498193264007568,16.016836166381836,3.8325209617614746,1.5507310628890991,10.633584022521973,,,,
,2279,,18,,,,,,7.487255573272705,2.5585005283355713,2.09956431388855,2.829190492630005
0.0001,2289,,,,,,,,,,,
,2289,0.30243444442749023,19,,,,,,,,,
0.0001,2299,,,,,,,,,,,
,2299,0.21428282558918,19,,,,,,,,,
0.0001,2309,,,,,,,,,,,
,2309,0.18747849762439728,19,,,,,,,,,
0.0001,2319,,,,,,,,,,,
,2319,0.13901816308498383,19,,,,,,,,,
0.0001,2329,,,,,,,,,,,
,2329,0.14448221027851105,19,,,,,,,,,
0.0001,2339,,,,,,,,,,,
,2339,0.18941113352775574,19,,,,,,,,,
,2339,,19,0.8555603623390198,14.86486530303955,3.4337615966796875,1.3956578969955444,10.035445213317871,,,,
0.0001,2349,,,,,,,,,,,
,2349,0.14782842993736267,19,,,,,,,,,
0.0001,2359,,,,,,,,,,,
,2359,0.18198251724243164,19,,,,,,,,,
0.0001,2369,,,,,,,,,,,
,2369,0.17223307490348816,19,,,,,,,,,
0.0001,2379,,,,,,,,,,,
,2379,0.14603284001350403,19,,,,,,,,,
0.0001,2389,,,,,,,,,,,
,2389,0.12358034402132034,19,,,,,,,,,
0.0001,2399,,,,,,,,,,,
,2399,0.13961507380008698,19,,,,,,,,,
,2399,,19,0.8168546557426453,14.643331527709961,3.5002214908599854,1.4399645328521729,9.703145980834961,,,,
,2399,,19,,,,,,5.632443904876709,2.1945302486419678,1.6390053033828735,1.7989082336425781
0.0001,2409,,,,,,,,,,,
,2409,0.14010922610759735,20,,,,,,,,,
0.0001,2419,,,,,,,,,,,
,2419,0.16919025778770447,20,,,,,,,,,
0.0001,2429,,,,,,,,,,,
,2429,0.1622515320777893,20,,,,,,,,,
0.0001,2439,,,,,,,,,,,
,2439,0.17310090363025665,20,,,,,,,,,
0.0001,2449,,,,,,,,,,,
,2449,0.11267086118459702,20,,,,,,,,,
0.0001,2459,,,,,,,,,,,
,2459,0.09306465834379196,20,,,,,,,,,
,2459,,20,0.7954991459846497,14.333185195922852,3.0793087482452393,1.4621179103851318,9.79175853729248,,,,
0.0001,2469,,,,,,,,,,,
,2469,0.20062406361103058,20,,,,,,,,,
0.0001,2479,,,,,,,,,,,
,2479,0.09749553352594376,20,,,,,,,,,
0.0001,2489,,,,,,,,,,,
,2489,0.15891802310943604,20,,,,,,,,,
0.0001,2499,,,,,,,,,,,
,2499,0.15219643712043762,20,,,,,,,,,
0.0001,2509,,,,,,,,,,,
,2509,0.16893546283245087,20,,,,,,,,,
0.0001,2519,,,,,,,,,,,
,2519,0.13683201372623444,20,,,,,,,,,
,2519,,20,0.7936742305755615,14.133806228637695,3.145768642425537,1.3956578969955444,9.592379570007324,,,,
,2519,,20,,,,,,4.745067596435547,1.894450068473816,1.518862009048462,1.3317557573318481
0.0001,2529,,,,,,,,,,,
,2529,0.08862891793251038,21,,,,,,,,,
